,term,coursename,coursesection,Instructor,courseid,book_needed,book_name,book_author,book_edition,book_pubtime,book_ISBN
24,Term: Winter 18 | ,Name: ANT        001             | ,Section: ALL               | ,"Instructor: WEAVER, T | ",Course ID:                 | ,Required                 ,HOW HUMANS EVOLVED-W/ACCESS            ,Author: BOYD          ,Edition: 8TH 18 ,Published Date: 2018,ISBN: 9780393603453
25,Term: Winter 18 | ,Name: ANT        002             | ,Section: ALL A             | ,"Instructor: GIORDANO, C | ",Course ID:                 | ,Required                 ,ETHNOGRAPHIC SORCERY                   ,Author: WEST          ,Edition: 07     ,Published Date: 2007,ISBN: 9780226893983
26,Term: Winter 18 | ,Name: ANT        002             | ,Section: ALL A             | ,"Instructor: GIORDANO, C | ",Course ID:                 | ,Required                 ,SPIRIT CATCHES YOU+YOU FALL DOWN       ,Author: FADIMAN       ,Edition: 12     ,Published Date: 2012,ISBN: 9780374533403
27,Term: Winter 18 | ,Name: ANT        003             | ,Section: A01               | ,Instructor: RANDY HAAS | ,Course ID:                 | ,Required                 ,ARCHAEOLOGY:DOWN TO EARTH (LOOSE)      ,Author: KELLY         ,Edition: 5TH 14 ,Published Date: 2014,ISBN: 9781133950912
28,Term: Winter 18 | ,Name: ANT        020             | ,Section: ALL               | ,"Instructor: HAYES, L. | ",Course ID:                 | ,Required                 ,HOMEGIRLS                              ,Author: MENDOZA-DENTON,Edition: 08     ,Published Date: 2008,ISBN: 9780631234906
29,Term: Winter 18 | ,Name: ANT        020             | ,Section: ALL               | ,"Instructor: HAYES, L. | ",Course ID:                 | ,Required                 ,TIMEPASS                               ,Author: JEFFREY       ,Edition: 10     ,Published Date: 2010,ISBN: 9780804770743
30,Term: Winter 18 | ,Name: ANT        020             | ,Section: ALL               | ,"Instructor: HAYES, L. | ",Course ID:                 | ,Required                 ,WISDOM SITS IN PLACES                  ,Author: BASSO         ,Edition: 96     ,Published Date: 1996,ISBN: 9780826317247
31,Term: Winter 18 | ,Name: ANT        029             | ,Section: 001               | ,"Instructor: Darwent, Christyann | ",Course ID: 74455           | ,Required                 ,PENGUIN HISTORICAL ATLAS OF VIKINGS    ,Author: HAYWOOD       ,Edition: 95     ,Published Date: 1995,ISBN: 9780140513288
32,Term: Winter 18 | ,Name: ANT        130BN           | ,Section: ALL               | ,Instructor:  | ,Course ID:                 | ,Required                 ,COSMOLOGIES OF CREDIT                  ,Author: CHU           ,Edition: 10     ,Published Date: 2010,ISBN: 9780822348061
33,Term: Winter 18 | ,Name: ANT        130BN           | ,Section: ALL               | ,Instructor:  | ,Course ID:                 | ,Required                 ,LIVES IN LIMBO                         ,Author: GONZALES      ,Edition: 16     ,Published Date: 2016,ISBN: 9780520287266
34,Term: Winter 18 | ,Name: ANT        148A            | ,Section: 001               | ,"Instructor: Dayton, Yi | ",Course ID: 75194           | ,Required                 ,FACTORY GIRLS                          ,Author: CHANG         ,Edition: 08     ,Published Date: 2008,ISBN: 9780385520188
35,Term: Winter 18 | ,Name: ANT        148A            | ,Section: 001               | ,"Instructor: Dayton, Yi | ",Course ID: 75194           | ,Required                 ,IN SEARCH OF PARADISE                  ,Author: ZHANG         ,Edition: 10     ,Published Date: 2010,ISBN: 9780801475627
36,Term: Winter 18 | ,Name: ANT        153             | ,Section: 001               | ,"Instructor: Henn, Brenna | ",Course ID: 42209           | ,Required                 ,HUMAN EVOLUTIONARY GENETICS            ,Author: JOBLING       ,Edition: 2ND 14 ,Published Date: 2014,ISBN: 9780815341482
37,Term: Winter 18 | ,Name: ANT        156B            | ,Section: 001               | ,"Instructor: Weaver, Timothy | ",Course ID: 74450           | ,Required                 ,STANDARDS F/DATA COLLECT.FROM HUMAN... ,Author: HAAS          ,Edition: 94     ,Published Date: 1994,ISBN: 9781563490750
38,Term: Winter 18 | ,Name: ANT        158             | ,Section: 001               | ,"Instructor: Linden, Julie | ",Course ID: 75347           | ,Required                 ,DR.TATIANA'S SEX ADVICE TO ALL CREATION,Author: JUDSON        ,Edition: 02     ,Published Date: 2002,ISBN: 9780805063325
39,Term: Winter 18 | ,Name: ANT        158             | ,Section: 001               | ,"Instructor: Linden, Julie | ",Course ID: 75347           | ,Required                 ,"MALE,FEMALE                            ",Author: GEARY         ,Edition: 2ND 10 ,Published Date: 2010,ISBN: 9781433806827
40,Term: Winter 18 | ,Name: ANT        158             | ,Section: 001               | ,"Instructor: Linden, Julie | ",Course ID: 75347           | ,Required                 ,SEX/GENDER                             ,Author: FAUSTO-STERLIN,Edition: 12     ,Published Date: 2012,ISBN: 9780415881463
41,Term: Winter 18 | ,Name: ANT        158             | ,Section: 001               | ,"Instructor: Linden, Julie | ",Course ID: 75347           | ,Required                 ,WARRIORS+WORRIERS:SURVIVAL OF THE SEXES,Author: BENENSON      ,Edition: 14     ,Published Date: 2014,ISBN: 9780199972234
42,Term: Winter 18 | ,Name: ANT        176             | ,Section: 001               | ,"Instructor: Eerkens, Jelmer | ",Course ID: 74451           | ,Required                 ,THE PALEOARCHAIC OCCUPATION OF THE OLD ,Author: DAVID B. MADSE,Edition: 2015   ,Published Date: 2015,ISBN: 9781607813934
43,Term: Winter 18 | ,Name: ANT        191             | ,Section: 002               | ,"Instructor: Smith, James | ",Course ID: 74461           | ,Required                 ,WORD FOR WORLD IS FOREST               ,Author: LEGUIN        ,Edition: 10     ,Published Date: 2010,ISBN: 9780765324641
44,Term: Winter 18 | ,Name: ARB        002             | ,Section: ALL               | ,Instructor: STAFF | ,Course ID:                 | ,Required                 ,"AL-KITAAB...BEGIN.ARABIC,PT.1-W/DVD    ",Author: BRUSTAD       ,Edition: 3RD 11 ,Published Date: 2011,ISBN: 9781589017368
45,Term: Winter 18 | ,Name: ARB        022             | ,Section: ALL               | ,Instructor: TBD | ,Course ID:                 | ,Required                 ,AL-KITAAB...TEXT.F/...PT.2-W/DVD+ACCESS,Author: BRUSTAD       ,Edition: 3RD 13 ,Published Date: 2013,ISBN: 9781626161238
46,Term: Winter 18 | ,Name: ARB        022             | ,Section: ALL               | ,Instructor: TBD | ,Course ID:                 | ,Required                 ,"ARABIC-ENGLISH DICTIONARY,ENLARGED     ",Author: WEHR          ,Edition: 4TH 94 ,Published Date: 1994,ISBN: 9780879500030
47,Term: Winter 18 | ,Name: ARB        022L            | ,Section: ALL               | ,Instructor: TBD | ,Course ID:                 | ,Required                 ,HAKINI ARABI                           ,Author: GHAZ          ,Edition: ,Published Date: NA,ISBN: 9781514274798
1,Term: Winter 18 | ,Name: AHI        154             | ,Section: 001               | ,"Instructor: Little, Layne | ",Course ID: 75226           | ,Required                 ,HINDU TEMPLE-W/NEW PREFACE             ,Author: MICHELL       ,Edition: (REV)88,Published Date: 1988,ISBN: 9780226532301
2,Term: Winter 18 | ,Name: AHI        186             | ,Section: 001               | ,"Instructor: Grigor, Talinn | ",Course ID: 74311           | ,Required                 ,ART SINCE 1980-TEXT                    ,Author: KALB          ,Edition: 14     ,Published Date: 2014,ISBN: 9780205935567
3,Term: Winter 18 | ,Name: AHI        200B            | ,Section: 001               | ,"Instructor: Burnett, Katharine | ",Course ID: 40933           | ,Required                 ,CRAFT OF RESEARCH                      ,Author: BOOTH         ,Edition: 2ND 03 ,Published Date: 2003,ISBN: 9780226065687
4,Term: Winter 18 | ,Name: AHI        200B            | ,Section: 001               | ,"Instructor: Burnett, Katharine | ",Course ID: 40933           | ,Required                 ,SHORT GUIDE TO WRITING ABOUT ART       ,Author: BARNET        ,Edition: 11TH 15,Published Date: 2015,ISBN: 9780205886999
5,Term: Winter 18 | ,Name: AHI        200B            | ,Section: 001               | ,"Instructor: Burnett, Katharine | ",Course ID: 40933           | ,Required                 ,STYLE:TOWARD CLARITY+GRACE             ,Author: WILLIAMS      ,Edition: 90     ,Published Date: 1990,ISBN: 9780226899152
6,Term: Winter 18 | ,Name: AHI        200B            | ,Section: 001               | ,"Instructor: Burnett, Katharine | ",Course ID: 40933           | ,Optional                 ,MANUAL F/WRITERS OF RESEARCH PAPERS... ,Author: TURABIAN      ,Edition: 7TH 07 ,Published Date: 2007,ISBN: 9780226823379
7,Term: Winter 18 | ,Name: AMS        010             | ,Section: ALL               | ,"Instructor: Wang, Grace | ",Course ID:                 | ,Required                 ,ICLICKER/REEF PACKAGE                  ,Author: ICLICKER      ,Edition: ,Published Date: NA,ISBN: 9781319149628
8,Term: Winter 18 | ,Name: AMS        010             | ,Section: ALL               | ,"Instructor: Wang, Grace | ",Course ID:                 | ,Required                 ,PASSING                                ,Author: LARSEN        ,Edition: 03     ,Published Date: 2003,ISBN: 9780142437278
9,Term: Winter 18 | ,Name: AMS        010             | ,Section: ALL               | ,"Instructor: Wang, Grace | ",Course ID:                 | ,Required                 ,TYPICAL AMERICAN                       ,Author: JEN           ,Edition: 08     ,Published Date: 2008,ISBN: 9780307389220
10,Term: Winter 18 | ,Name: AMS        153             | ,Section: 001               | ,"Instructor: Bayles, Megan | ",Course ID: 74353           | ,Required                 ,GOOD KINGS BAD KINGS                   ,Author: NUSSBAUM      ,Edition: 13     ,Published Date: 2013,ISBN: 9781616203252
11,Term: Winter 18 | ,Name: AMS        160             | ,Section: 001               | ,"Instructor: Arapoglou, Eleftheri | ",Course ID: 74358           | ,Required                 ,AMERICAN DREAM                         ,Author: CULLEN        ,Edition: 03     ,Published Date: 2003,ISBN: 9780195173253
12,Term: Winter 18 | ,Name: AMS        160             | ,Section: 001               | ,"Instructor: Arapoglou, Eleftheri | ",Course ID: 74358           | ,Required                 ,AMERICAN DREAM                         ,Author: SAMUEL        ,Edition: 12     ,Published Date: 2012,ISBN: 9780815610076
13,Term: Winter 18 | ,Name: AMS        160             | ,Section: 001               | ,"Instructor: Arapoglou, Eleftheri | ",Course ID: 74358           | ,Required                 ,AMERICAN DREAM IN THE 21ST CENTURY     ,Author: HANSON        ,Edition: 11     ,Published Date: 2011,ISBN: 9781439903155
14,Term: Winter 18 | ,Name: AMS        160             | ,Section: 001               | ,"Instructor: Arapoglou, Eleftheri | ",Course ID: 74358           | ,Required                 ,AUTOBIOGRAPHY OF BENJAMIN FRANKLIN     ,Author: FRANKLIN      ,Edition: 96     ,Published Date: 1996,ISBN: 9780486290737
15,Term: Winter 18 | ,Name: AMS        160             | ,Section: 001               | ,"Instructor: Arapoglou, Eleftheri | ",Course ID: 74358           | ,Required                 ,GREAT GATSBY                           ,Author: FITZGERALD    ,Edition: 25     ,Published Date: 1925,ISBN: 9780743273565
16,Term: Winter 18 | ,Name: AMS        160             | ,Section: 001               | ,"Instructor: Arapoglou, Eleftheri | ",Course ID: 74358           | ,Required                 ,REQUIEM FOR AMERICAN DREAM             ,Author: CHOMSKY       ,Edition: 17     ,Published Date: 2017,ISBN: 9781609807368
17,Term: Winter 18 | ,Name: ANG        107             | ,Section: ALL               | ,"Instructor: MEDRANO, J | ",Course ID:                 | ,Required                 ,UNDERSTANDING ANIMAL BREEDING          ,Author: BOURDON       ,Edition: 2ND 00 ,Published Date: 2000,ISBN: 9780130964496
18,Term: Winter 18 | ,Name: ANS        015             | ,Section: 001               | ,"Instructor: Mienaltowski, Michae | ",Course ID: 41339           | ,Optional                 ,EQUINE SCIENCE                         ,Author: PARKER        ,Edition: 4TH 13 ,Published Date: 2013,ISBN: 9781111138776
19,Term: Winter 18 | ,Name: ANS        042             | ,Section: ALL               | ,Instructor: TBD | ,Course ID:                 | ,Optional                 ,COMPANION ANIMALS                      ,Author: CAMPBELL      ,Edition: 2ND 09 ,Published Date: 2009,ISBN: 9780135047675
20,Term: Winter 18 | ,Name: ANS        103             | ,Section: ALL               | ,"Instructor: MAKADON, M | ",Course ID:                 | ,Required                 ,ANIMAL WELFARE                         ,Author: APPLEBY       ,Edition: 11     ,Published Date: 2011,ISBN: 9781845936594
